Timestamp,Download (Mbps),Upload (Mbps),Latency (ms),Server
2025-05-20T12:58:36+03:00,-0.00,1.19,71.875562ms,Nairobi
2025-05-20T12:59:17+03:00,1.93,2.06,26.990248ms,Nairobi
